Timestamp,User,Shell ID,Task Category,Event ID
"12/08/2025
22:52:31",DESKTOP-G6IINP6\samson1,,Security Group Management,4728
"30/08/2025
18:51:20",,,Logon,4624
"26/08/2025
22:48:41",,,Special Logon,4672
